name,lat,lon
Divichibazar,41.2012,48.9871
Buzovna,40.519,50.1144
Biny Selo,40.4508,50.0869
Barda,40.3758,47.1262
Bilajari,40.4444,49.8057
Baku,40.3777,49.892
Amirdzhan,40.4264,49.9836
Aghsu,40.5703,48.4009
Ağdaş,40.647,47.4738
Agdzhabedy,40.0502,47.4594
Bakıxanov,40.4189,49.9669
Zenica,44.2017,17.904
Visoko,43.9889,18.1781
Velika Kladuša,45.185,15.8058
Tuzla,44.5384,18.6671
Trebinje,42.712,18.3436
Travnik,44.2264,17.6658
Sarajevo,43.8486,18.3564
Prijedor,44.9799,16.714
Mostar,43.3433,17.8081
Lukavac,44.5424,18.5262
Gradačac,44.8785,18.4276
Gračanica,44.7031,18.3101
Goražde,43.668,18.9756
Doboj,44.7318,18.087
Cazin,44.9669,15.9431
Bugojno,44.0572,17.4508
Brčko,44.87,18.8101
Bosanska Krupa,44.8825,16.1514
Bijeljina,44.7587,19.2144
Bihać,44.8169,15.8708
Banja Luka,44.7784,17.1939
Konjic,43.6513,17.9608
Bridgetown,13.1073,-59.6202
Thākurgaon,26.031,88.4699
Teknāf,20.8583,92.2977
Tungi,23.8915,90.4023
Sylhet,24.899,91.872
Dohār,23.5931,90.1425
Jamālpur,24.9196,89.9481
Shibganj,25.0015,89.3227
Shibganj,24.685,88.1564
Sātkhira,22.7082,89.0718
Sirajganj,24.4577,89.708
Netrakona,24.8835,90.729
Narsingdi,23.923,90.7177
